month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2025-07 Jul,2025-07-22,5090.1090207436055,-0.20555095507859278,0.8163046519158446,True,bull,90,89.9980723660565
2025-07 Jul,2025-07-23,5077.762102042044,-0.2425668812051862,0.01968944572876552,True,bull,90,89.97375200900284
2025-07 Jul,2025-07-24,5147.227374409122,1.3680292808349925,0.7104281817742697,True,bull,90,90.10906292434674
2025-07 Jul,2025-07-25,5163.297880263856,0.3122167467214165,-0.5272066747054938,True,bull,90,90.13984797023586
2025-07 Jul,2025-07-28,5192.150334419748,0.5587989464287402,0.20985359676852777,True,bull,90,90.1946402173946
2025-07 Jul,2025-07-29,5258.0812285552665,1.2698186664290123,0.3917236323402573,True,bull,90,89.97578763726916
2025-07 Jul,2025-07-30,5216.9836363767245,-0.7816081645021344,-0.01895460648717595,True,bull,90,89.89682036033119
2025-07 Jul,2025-07-31,5198.874416776703,-0.34712049839970005,-1.8222756681259944,True,bull,90,89.8616279928905
2025-08 Aug,2025-08-01,5000.0,0.0,-0.5069694186683571,True,neutral,30,30.0
2025-08 Aug,2025-08-04,5014.7098080502465,0.29419616100492263,0.38898338293962276,True,neutral,50,30.20533323022287
2025-08 Aug,2025-08-05,5038.192188024223,0.4682699672128532,0.8044804065735933,True,neutral,50,30.53063739173158
2025-08 Aug,2025-08-06,5049.731333014699,0.22903344215221555,0.244550317415837,True,neutral,50,30.689381886174644
2025-08 Aug,2025-08-07,5053.00962112035,0.06492004998797096,0.028710448682822687,True,neutral,50,30.734349181310638
2025-08 Aug,2025-08-08,5057.64303514699,0.09169612516217729,-0.23571779580652263,True,neutral,60,60.00818916853024
2025-08 Aug,2025-08-11,5115.439310646736,1.142751180700241,0.4273846781228885,True,neutral,50,60.460032612697134
2025-08 Aug,2025-08-12,5125.584507719235,0.19832504026358055,0.5170149940169733,True,neutral,50,60.538295054918166
2025-08 Aug,2025-08-13,5162.298933951461,0.7162973545150386,0.7904050002111696,True,neutral,50,60.818947894620145
2025-08 Aug,2025-08-14,5106.3230053165025,-1.0843217208289735,-0.07817404583370102,True,neutral,50,60.389442010599524
2025-08 Aug,2025-08-15,5162.6279848238255,1.102652132438564,0.6958500356910591,True,neutral,60,60.027567531689066
2025-08 Aug,2025-08-18,5219.840613324228,1.1082074607851933,0.8818868857518591,True,neutral,50,60.46568970791591
2025-08 Aug,2025-08-19,5226.741773698779,0.13221017432860638,-0.3783306792709218,True,bull,90,60.51788907559767
2025-08 Aug,2025-08-20,5228.273300785975,0.02930175534789914,1.1370529818102826,True,bull,90,60.52945463823407
2025-08 Aug,2025-08-21,5222.32278867099,-0.11381409831980882,0.3903875922532052,True,bull,90,60.484480405911654
2025-08 Aug,2025-08-22,5241.527577131856,0.36774418660079355,2.097143447484884,True,bull,90,89.97377063463964
2025-08 Aug,2025-08-25,5338.260483198664,1.8455098183369545,2.083692135080928,True,bull,90,90.15545272123998
2025-08 Aug,2025-08-26,5302.534642026043,-0.6692412497490974,-0.3721229332532494,True,bull,90,90.0891250579165
2025-08 Aug,2025-08-27,5213.68238699788,-1.6756562856553803,-1.4927039110486429,True,bull,90,89.92022263491846
2025-08 Aug,2025-08-28,5283.573829173984,1.3405389317616034,1.7704685705635104,True,bull,90,90.05355855481602
2025-08 Aug,2025-08-29,5274.33126246107,-0.174930208448687,0.7387681566886517,True,bull,90,89.98297156226506
2025-09 Sep,2025-09-01,5000.0,0.0,0.5993650093322866,True,neutral,30,30.0
2025-09 Sep,2025-09-02,4966.9242824578405,-0.6615143508431953,-0.7351928538317232,True,bull,45,29.53385634725129
2025-09 Sep,2025-09-03,4935.386876680834,-0.6349483902621689,-0.6819579227307471,True,bull,45,29.083573639644765
2025-09 Sep,2025-09-04,4903.46988194241,-0.6466969162889247,-2.121627954428762,True,bull,45,28.621974147549047
2025-09 Sep,2025-09-05,4951.206298480035,0.9735231924931309,2.178956379866337,True,bull,50,29.31015617195226
2025-09 Sep,2025-09-08,4976.037682118042,0.5015218946871514,0.16249936944057186,True,bull,60,59.987487850563056
2025-09 Sep,2025-09-09,4912.7959573538365,-1.270925358774344,-0.7009398615310913,True,bull,50,59.47241246325915
2025-09 Sep,2025-09-10,4920.956710631355,0.16611219656503806,0.20528562585855337,True,neutral,50,59.53962208575102
2025-09 Sep,2025-09-11,4961.021582164005,0.8141683393819044,2.309596624799082,True,neutral,50,59.86637733493697
2025-09 Sep,2025-09-12,4961.330473244735,0.006226360349659288,-0.5724889979958458,True,bull,90,59.86887604332688
2025-09 Sep,2025-09-15,4965.684495267534,0.08775916150474128,0.2445379232808076,True,bull,90,90.01780125700822
2025-09 Sep,2025-09-16,5019.686448084395,1.087502697127185,-0.21440282229028274,True,bull,90,90.12519008121123
2025-09 Sep,2025-09-17,5022.741305791124,0.0608575403727718,0.6120702481375861,True,neutral,50,90.13119599259434
2025-09 Sep,2025-09-18,4952.020519851019,-1.4080117138138393,-1.162683642776574,True,neutral,50,89.9902576477521
2025-09 Sep,2025-09-19,4916.666055709633,-0.7139401785526078,0.08472449200318533,True,neutral,25,89.91828019940658
2025-09 Sep,2025-09-22,4919.182248612369,0.05117681116078021,0.4595372641006623,True,neutral,30,30.00498711785599
2025-09 Sep,2025-09-23,4900.325520934942,-0.38333053593910815,-0.06257451452790219,True,recovery,35,29.735642379214056
2025-09 Sep,2025-09-24,4915.5047040852205,0.3097586698155297,1.0242317211154983,True,recovery,35,29.952620211088814
2025-09 Sep,2025-09-25,4898.801043360241,-0.3398157815024949,0.6004505843207442,True,recovery,35,29.713776531520818
