date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,regime,pos_cap
2026-03-03,4862.600177615416,4862.600177615416,0.0,-142.913968032806,-2.8551306394180354,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': '跌停(-6.3%)', 'sector': '半导体', 'etf': '512480', 'amount': 1559}, {'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 809}]",defensive,30
2026-03-04,4862.600177615416,4862.600177615416,0.0,0.0,0.0,-1.1441621548247571,{},False,[],defensive,30
2026-03-05,4862.600177615416,4862.600177615416,0.0,0.0,0.0,0.9791586323022239,{},False,[],defensive,30
2026-03-06,4862.600177615416,4862.600177615416,0.0,0.0,0.0,0.27426516214930086,{},False,[],defensive,30
2026-03-09,4862.600177615416,4862.600177615416,0.0,0.0,0.0,-0.9652309578561225,{},False,[],defensive,30
2026-03-10,4862.600177615416,3403.600177615416,1459.0,0.0,0.0,1.2848354062600542,{'电力': 1459},True,"[{'date': '2026-03-10', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1459}]",defensive,30
2026-03-11,4891.746004441253,3403.600177615416,1488.1458268258366,29.14582682583659,0.5993876889160532,0.636182936606744,{'电力': 1488},False,[],moderate,50
2026-03-12,4921.392457385407,3403.600177615416,1517.7922797699912,29.646452944154607,0.6060505373181257,-0.3599960548377523,{'电力': 1518},False,[],moderate,50
2026-03-13,4884.371972174014,3403.600177615416,1480.771794558598,-37.020485211393286,-0.7522359887360164,-0.3929549701763846,{'电力': 1481},False,[],defensive,30
2026-03-16,4851.7870615788615,3403.600177615416,1448.1868839634453,-32.58491059515261,-0.6671259023839138,0.051808255910068546,{'电力': 1448},False,[],defensive,30
2026-03-17,4840.409380762138,3388.4093807621384,1452.0,-11.377680816723073,-0.2345049498734708,-0.7303771610291054,"{'电力': 726, '风电设备': 484, '元件': 242}",True,"[{'date': '2026-03-17', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1437}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 726}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 484}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '元件', 'etf': '159997', 'amount': 242}]",defensive,30
2026-03-18,4853.244667336651,3388.4093807621384,1464.8352865745126,12.835286574512713,0.2651694425997553,0.4505288371448035,"{'电力': 735, '风电设备': 480, '元件': 250}",False,[],defensive,30
2026-03-19,4842.0334214873055,3388.4093807621384,1453.6240407251676,-11.211245849345085,-0.23100516495283552,-1.6117571697337185,"{'电力': 737, '风电设备': 474, '元件': 243}",False,[],defensive,30
2026-03-20,4833.715835222834,3388.4093807621384,1445.3064544606964,-8.317586264471336,-0.1717787867295706,-0.3541809078315805,"{'电力': 740, '风电设备': 467, '元件': 238}",False,[],cash,10
